Key,Marginal_Cost_(EUR/MWh),Capacity_(MW),%_Price-setting
energy_power_combined_cycle_network_gas,54.83938393105601,4968.000000000001,37.48858447488585
import_from_de,37.12843315171639,2449.0,25.125570776255707
energy_chp_combined_cycle_network_gas,77.66376275865146,3035.752572247012,16.32420091324201
energy_power_ultra_supercritical_cofiring_coal,49.19195786202083,1606.9565217391312,9.349315068493151
energy_chp_ultra_supercritical_cofiring_coal,56.09104407503158,474.3078260869564,2.9566210045662102
energy_chp_ultra_supercritical_coal,30.804426650741302,802.0173913043474,2.6255707762557075
agriculture_chp_engine_network_gas,79.97000000000001,2489.0,2.5342465753424657
energy_power_ultra_supercritical_coal,26.601544901268653,1224.0,1.8493150684931507
energy_power_nuclear_gen2_uranium_oxide,5.041880429577916,430.65,1.141552511415525
buildings_collective_chp_network_gas,79.97000000000001,570.6666434588851,0.4337899543378996
energy_power_ultra_supercritical_network_gas,81.82595089658402,3456.0,0.15981735159817353
energy_power_turbine_network_gas,96.7128691945106,194.69387755102053,0.01141552511415525
agriculture_chp_engine_biogas,151.87216567570286,199.5,0.0
agriculture_chp_supercritical_wood_pellets,147.31412429378528,249.75000000000003,0.0
buildings_chp_engine_biogas,151.87216567570286,0.0,0.0
buildings_collective_chp_wood_pellets,147.44745762711864,0.0,0.0
buildings_solar_pv_solar_radiation,0.0,1122.1245,0.0
energy_chp_supercritical_waste_mix,0.0,599.4,0.0
energy_chp_ultra_supercritical_lignite,22.99871652571429,0.0,0.0
energy_power_combined_cycle_ccs_coal,29.187890212819237,0.0,0.0
energy_power_combined_cycle_ccs_network_gas,68.8789278289256,0.0,0.0
energy_power_combined_cycle_coal,26.25933794726519,0.0,0.0
energy_power_engine_diesel,216.67700113684205,0.0,0.0
energy_power_engine_network_gas,68.53829241382002,0.0,0.0
energy_power_hydro_mountain,2.4920896602739795,0.0,0.0
energy_power_hydro_river,0.0,100.94000000000001,0.0
energy_power_nuclear_gen3_uranium_oxide,4.844769136055791,0.0,0.0
energy_power_solar_csp_solar_radiation,1.0,0.0,0.0
energy_power_solar_pv_solar_radiation,0.0,12.43367935409458,0.0
energy_power_supercritical_coal,33.75770391749033,0.0,0.0
energy_power_supercritical_waste_mix,1.169906407487401,0.0,0.0
energy_power_ultra_supercritical_ccs_coal,35.71161118886705,0.0,0.0
energy_power_ultra_supercritical_crude_oil,135.76585118830104,0.0,0.0
energy_power_ultra_supercritical_lignite,21.161376960000002,0.0,0.0
energy_power_ultra_supercritical_oxyfuel_ccs_lignite,25.003913798390467,0.0,0.0
energy_power_wind_turbine_coastal,0.0,712.4999999999999,0.0
energy_power_wind_turbine_inland,0.0,5936.549999999999,0.0
energy_power_wind_turbine_offshore,0.0,4095.84,0.0
households_collective_chp_biogas,151.87216567570286,0.0,0.0
households_collective_chp_network_gas,79.97000000000001,0.0,0.0
households_collective_chp_wood_pellets,147.44745762711864,0.0,0.0
households_solar_pv_solar_radiation,0.0,2810.581767905015,0.0
industry_chp_combined_cycle_gas_power_fuelmix,88.07654641359827,875.9450357919136,0.0
industry_chp_engine_gas_power_fuelmix,91.49282327206954,14.264031723246422,0.0
industry_chp_turbine_gas_power_fuelmix,97.77670919397703,408.6960434576166,0.0
industry_chp_ultra_supercritical_coal,38.13924470098841,0.0,0.0
emergency_price,"","",0.0
