Key,Marginal_Cost_(EUR/MWh),Capacity_(MWh),%_Price-setting
energy_power_combined_cycle_network_gas,58.850607413709476,4968.000000000001,42.59132420091324
import_from_de,45.6796971699814,2449.0,19.223744292237445
agriculture_chp_engine_network_gas,80.99843915348838,2489.0,11.426940639269406
energy_power_ultra_supercritical_cofiring_coal,53.172707446092616,1606.9565217391312,9.657534246575343
buildings_collective_chp_network_gas,80.99843915348838,570.6666434588851,5.536529680365296
energy_chp_combined_cycle_network_gas,83.39408201958499,3035.752572247012,2.8995433789954337
energy_chp_ultra_supercritical_cofiring_coal,60.60973279208604,474.3078260869564,2.8881278538812785
energy_chp_ultra_supercritical_coal,39.16347174792512,802.0173913043474,2.6255707762557075
energy_power_ultra_supercritical_coal,33.87027976838501,1224.0,1.8378995433789953
energy_power_nuclear_gen2_uranium_oxide,5.041880429577916,430.65,1.141552511415525
energy_power_ultra_supercritical_network_gas,87.84278612056423,3456.0,0.15981735159817353
energy_power_turbine_network_gas,103.79149886978145,194.69387755102053,0.01141552511415525
agriculture_chp_engine_biogas,151.87216567570286,199.5,0.0
agriculture_chp_supercritical_wood_pellets,147.31412429378528,249.75000000000003,0.0
buildings_chp_engine_biogas,151.87216567570286,0.0,0.0
buildings_collective_chp_wood_pellets,147.44745762711864,0.0,0.0
buildings_solar_pv_solar_radiation,0.0,1122.1245,0.0
energy_chp_supercritical_waste_mix,0.0,599.4,0.0
energy_chp_ultra_supercritical_lignite,33.43044722285715,0.0,0.0
energy_power_combined_cycle_ccs_coal,30.532508727111537,0.0,0.0
energy_power_combined_cycle_ccs_network_gas,70.3828148167599,0.0,0.0
energy_power_combined_cycle_coal,33.64039322071668,0.0,0.0
energy_power_engine_diesel,216.67700113684205,0.0,0.0
energy_power_engine_network_gas,73.55232176713685,0.0,0.0
energy_power_hydro_mountain,2.4920896602739795,0.0,0.0
energy_power_hydro_river,0.0,100.94000000000001,0.0
energy_power_nuclear_gen3_uranium_oxide,4.844769136055791,0.0,0.0
energy_power_solar_csp_solar_radiation,1.0,0.0,0.0
energy_power_solar_pv_solar_radiation,0.0,12.43367935409458,0.0
energy_power_supercritical_coal,43.04553180325013,0.0,0.0
energy_power_supercritical_waste_mix,1.169906407487401,0.0,0.0
energy_power_ultra_supercritical_ccs_coal,37.100926163468245,0.0,0.0
energy_power_ultra_supercritical_crude_oil,141.81895798830107,0.0,0.0
energy_power_ultra_supercritical_lignite,30.289141319999995,0.0,0.0
energy_power_ultra_supercritical_oxyfuel_ccs_lignite,26.799539574128175,0.0,0.0
energy_power_wind_turbine_coastal,0.0,712.4999999999999,0.0
energy_power_wind_turbine_inland,0.0,5936.549999999999,0.0
energy_power_wind_turbine_offshore,0.0,4095.84,0.0
households_collective_chp_biogas,151.87216567570286,0.0,0.0
households_collective_chp_network_gas,80.99843915348838,0.0,0.0
households_collective_chp_wood_pellets,147.44745762711864,0.0,0.0
households_solar_pv_solar_radiation,0.0,2810.581767905015,0.0
industry_chp_combined_cycle_gas_power_fuelmix,93.91491526294095,875.9450357919136,0.0
industry_chp_engine_gas_power_fuelmix,92.3950931080551,14.264031723246422,0.0
industry_chp_turbine_gas_power_fuelmix,104.22964318535578,408.6960434576166,0.0
industry_chp_ultra_supercritical_coal,49.284638163900155,0.0,0.0
emergency_price,"","",0.0
