buildings_solar_pv_solar_radiation,energy_power_hydro_river,energy_power_solar_csp_solar_radiation,energy_power_solar_pv_solar_radiation,energy_power_wind_turbine_coastal,energy_power_wind_turbine_inland,energy_power_wind_turbine_offshore,households_solar_pv_solar_radiation,agriculture_chp_engine_biogas,buildings_chp_engine_biogas,energy_chp_supercritical_waste_mix,energy_power_supercritical_waste_mix,households_collective_chp_biogas,industry_chp_combined_cycle_gas_power_fuelmix,industry_chp_engine_gas_power_fuelmix,industry_chp_turbine_gas_power_fuelmix,industry_chp_ultra_supercritical_coal,energy_power_hydro_mountain,energy_power_nuclear_gen3_uranium_oxide,energy_power_nuclear_gen2_uranium_oxide,energy_power_ultra_supercritical_lignite,energy_chp_ultra_supercritical_lignite,energy_power_ultra_supercritical_oxyfuel_ccs_lignite,energy_power_combined_cycle_coal,energy_power_ultra_supercritical_coal,energy_power_combined_cycle_ccs_coal,energy_chp_ultra_supercritical_coal,energy_power_supercritical_coal,energy_power_ultra_supercritical_ccs_coal,energy_power_ultra_supercritical_cofiring_coal,energy_power_combined_cycle_network_gas,energy_chp_ultra_supercritical_cofiring_coal,energy_power_engine_network_gas,energy_power_combined_cycle_ccs_network_gas,energy_chp_combined_cycle_network_gas,agriculture_chp_engine_network_gas,buildings_collective_chp_network_gas,households_collective_chp_network_gas,energy_power_ultra_supercritical_network_gas,energy_power_turbine_network_gas,energy_power_ultra_supercritical_crude_oil,agriculture_chp_supercritical_wood_pellets,buildings_collective_chp_wood_pellets,households_collective_chp_wood_pellets,energy_power_engine_diesel
Merit::VolatileProducer,Merit::VolatileProducer,Merit::VolatileProducer,Merit::VolatileProducer,Merit::VolatileProducer,Merit::VolatileProducer,Merit::VolatileProducer,Merit::VolatileProducer,Merit::MustRunProducer,Merit::MustRunProducer,Merit::MustRunProducer,Merit::MustRunProducer,Merit::MustRunProducer,Merit::MustRunProducer,Merit::MustRunProducer,Merit::MustRunProducer,Merit::MustRunProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer
0.015,10.0,50.0,20.0,3.0,3.0,3.0,0.0015,1.0,1.0,60.0,55.56,1.0,100.0,1.0,45.0,17.3611111111111,500.00000000000006,1650.0000000000002,1650.0,800.0,700.0,660.0,800.0,800.0,658.0,695.652173913043,800.0,637.0,730.434782608696,800.0000000000001,643.478260869565,400.0,665.0,120.0,2.0,2.0,2.0,800.0,150.0,800.0,1.5,1.5,1.5,2.0
1205397.5543961488,500.0,0.0,367.00223713646534,1650.0,14850.0,4366.8,23786399.999999996,0.0,0.0,9.5,15.7,0.0,17.98314043093678,27.2,54.8,45.866057142857166,25.8,0.0,0.0,24.0,0.0,0.0,0.0,14.3,0.0,2.0,15.4,0.0,7.2,14.8,6.9,0.8486944444444444,0.0,143.0,0.0,0.0,0.0,0.0,18.6,0.4,0.0,33.7523621399177,58.52126337448561,31.835443037974702
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,151.87216567570286,151.87216567570286,0.0,1.169906407487401,151.87216567570286,83.44900190796167,86.9195650998062,92.66205474037871,44.28156213175091,2.49208966027398,4.844769136055791,5.041880429577916,23.73537696,25.940430811428573,28.379651503308498,30.32709783518738,30.607404095244203,34.12783320272677,35.41116472381318,38.876301776459094,40.81576281001806,51.385517444670384,53.24005119546667,58.581030628309456,66.53912649433335,66.92056059177654,75.37900170780954,77.73837209302326,77.73837209302326,77.73837209302326,79.4269517932,93.89051730817648,117.45451237612161,147.31412429378528,147.44745762711864,147.44745762711864,187.87327684210524
0.0,2355.109413642,0.0,0.0,3335.449348400852,20738.1563236823,8022.032674554186,0.0,0.0,0.0,390.410958907008,751.8041780877733,0.0,1231.7219473335813,18.63013698643968,1689.0410959029505,636.3013698677375,4257.000000000001,0.0,0.0,3966.811715780246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2355.109413642,0.0,0.0,3119.713350064535,19396.817754026244,7220.8090014860945,0.0,0.0,0.0,390.410958907008,751.8041780877733,0.0,1231.7219473335813,18.63013698643968,1689.0410959029505,636.3013698677375,4257.000000000001,0.0,0.0,4556.8505058160645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2355.109413642,0.0,0.0,2733.994273258177,16998.60939398272,8206.562690260362,0.0,0.0,0.0,390.410958907008,751.8041780877733,0.0,1231.7219473335813,18.63013698643968,1689.0410959029505,636.3013698677375,4257.000000000001,0.0,0.0,4512.7627553571965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2355.109413642,0.0,0.0,2550.357413041501,15856.847215585532,9061.5525611378,0.0,0.0,0.0,390.410958907008,751.8041780877733,0.0,1231.7219473335813,18.63013698643968,1689.0410959029505,636.3013698677375,4257.000000000001,0.0,0.0,3233.0884135626225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2355.109413642,0.0,0.0,3122.66518118591,19415.170764023398,6944.97790092167,0.0,0.0,0.0,390.410958907008,751.8041780877733,0.0,1231.7219473335813,18.63013698643968,1689.0410959029505,636.3013698677375,4257.000000000001,0.0,0.0,571.1892711015394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2355.109413642,0.0,0.0,3010.4955985737856,18717.756384132514,8479.346191739056,0.0,0.0,0.0,390.410958907008,751.8041780877733,0.0,1231.7219473335813,18.63013698643968,1689.0410959029505,636.3013698677375,3388.0518168587037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2355.109413642,0.0,0.0,2903.1334866156453,18050.232453032775,9198.887833515058,0.0,0.0,0.0,390.410958907008,751.8041780877733,0.0,1231.7219473335813,18.63013698643968,1689.0410959029505,636.3013698677375,1360.9526355829173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
